Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/TC02-MarcarConsulta,Chrome 71.0.3578.98,Test MarcarConsulta,2018-12-18 20:17:17,2018-12-18 20:17:23,"5,851s",FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:17:17,2018-12-18 20:17:20,"2,746s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:17:20,2018-12-18 20:17:22,"2,288s",PASSED
"click(findTestObject(""null""))",Chrome 71.0.3578.98,,2018-12-18 20:17:22,2018-12-18 20:17:23,"0,590s",FAILED
,,,,,,
Test Cases/TC05-AGORAVAI,Chrome 71.0.3578.98,fé que vai,2018-12-18 20:17:23,2018-12-18 20:17:32,"8,761s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:17:23,2018-12-18 20:17:26,"2,747s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:17:26,2018-12-18 20:17:28,"2,482s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/a_Make Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:17:28,2018-12-18 20:17:29,"0,352s",PASSED
"setText(findTestObject(""Object Repository/AgoraFoi/input_Username_username""), ""John Doe"")",Chrome 71.0.3578.98,,2018-12-18 20:17:29,2018-12-18 20:17:29,"0,115s",PASSED
"setEncryptedText(findTestObject(""Object Repository/AgoraFoi/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 71.0.3578.98,,2018-12-18 20:17:29,2018-12-18 20:17:29,"0,134s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/button_Login""))",Chrome 71.0.3578.98,,2018-12-18 20:17:29,2018-12-18 20:17:29,"0,462s",PASSED
"setText(findTestObject(""Object Repository/AgoraFoi/input_Visit Date (Required)_vi""), ""29/09/1993"")",Chrome 71.0.3578.98,,2018-12-18 20:17:29,2018-12-18 20:17:30,"0,275s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/div_Comment""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,079s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/label_Apply for hospital readm""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,081s",PASSED
"setText(findTestObject(""Object Repository/AgoraFoi/textarea_Comment_comment""), ""agoravai"")",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,107s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/button_Book Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,276s",PASSED
"check(findTestObject(""Object Repository/AgoraFoi/div_Appointment Confirmation""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,114s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/i_CURA Healthcare_fa fa-bars""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:30,"0,067s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/a_History""))",Chrome 71.0.3578.98,,2018-12-18 20:17:30,2018-12-18 20:17:31,"0,268s",PASSED
"check(findTestObject(""Object Repository/AgoraFoi/div_29091993""))",Chrome 71.0.3578.98,,2018-12-18 20:17:31,2018-12-18 20:17:31,"0,114s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/a_Go to Homepage""))",Chrome 71.0.3578.98,,2018-12-18 20:17:31,2018-12-18 20:17:31,"0,261s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-18 20:17:31,2018-12-18 20:17:32,"0,589s",PASSED
