Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/AgoraFoi/input_Visit Date (Required)_vi""), ""29/09/1993"")",Chrome 71.0.3578.98,,2018-12-18 20:19:32,2018-12-18 20:19:32,"0,287s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/div_Comment""))",Chrome 71.0.3578.98,,2018-12-18 20:19:32,2018-12-18 20:19:32,"0,078s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/label_Apply for hospital readm""))",Chrome 71.0.3578.98,,2018-12-18 20:19:32,2018-12-18 20:19:33,"0,083s",PASSED
"setText(findTestObject(""Object Repository/AgoraFoi/textarea_Comment_comment""), ""agoravai"")",Chrome 71.0.3578.98,,2018-12-18 20:19:33,2018-12-18 20:19:33,"0,112s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/button_Book Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:19:33,2018-12-18 20:19:33,"0,313s",PASSED
"check(findTestObject(""Object Repository/AgoraFoi/div_Appointment Confirmation""))",Chrome 71.0.3578.98,,2018-12-18 20:19:33,2018-12-18 20:19:33,"0,130s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/i_CURA Healthcare_fa fa-bars""))",Chrome 71.0.3578.98,,2018-12-18 20:19:33,2018-12-18 20:19:33,"0,077s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/a_History""))",Chrome 71.0.3578.98,,2018-12-18 20:19:33,2018-12-18 20:19:34,"0,307s",PASSED
"check(findTestObject(""Object Repository/AgoraFoi/div_29091993""))",Chrome 71.0.3578.98,,2018-12-18 20:19:34,2018-12-18 20:19:34,"0,127s",PASSED
"click(findTestObject(""Object Repository/AgoraFoi/a_Go to Homepage""))",Chrome 71.0.3578.98,,2018-12-18 20:19:34,2018-12-18 20:19:34,"0,289s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-18 20:19:34,2018-12-18 20:19:35,"0,646s",PASSED
